2018-09-11 15:03:20.524	    7f0f27346780	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:4273	Loaded wallet keys file, with public address: 471Wmu3C7YDNmx328md32CiR3L8cQX7x46Ue7s4AsTjN96HsKDc7QHnBisAU4pnNyW2qNoxqBbRLpWNVfAtfzHJGQLwgdZh
2018-09-11 15:03:20.530	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:133	Exception: boost::archive::portable_binary_iarchive_exception
2018-09-11 15:03:20.530	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:134	Unwound call stack:
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [1] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:__cxa_throw+0x10e [0x55969652e3be]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [2] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:void boost::serialization::throw_exception<boost::archive::archive_exception>(boost::archive::archive_exception const&)+0 [0x55969626e580]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [3] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc+0x30f8c6 [0x5596962368c6]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [4] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:boost::archive::basic_binary_iprimitive<boost::archive::portable_binary_iarchive, char, std::char_traits<char> >::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)+0x32 [0x5596962719b2]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [5] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:boost::archive::portable_binary_iarchive::portable_binary_iarchive(std::istream&, unsigned int)+0xb9 [0x55969643d409]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [6] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:tools::wallet2::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, epee::wipeable_string const&)+0x1298 [0x5596963dc508]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [7] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:tools::wallet2::make_from_file(boost::program_options::variables_map const&, bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::function<boost::optional<tools::password_container> (char const*, bool)> const&)+0x10e [0x5596963dd6de]
